region,product_id,stockout_quantity,stockout_penalty_cost,total_demand
Canada,93,7.0,157.436998551,7
Canada,134,7.0,157.5,7
Canada,135,2.0,39.599999999999994,2
Canada,273,8.0,201.527998344,8
Canada,502,257.0,11565.0,492
Canada,703,5.0,89.954998965,5
Canada,775,11.0,98.90099773290001,11
Canada,792,9.0,121.418998137,9
Canada,793,23.0,310.292995239,23
Canada,797,4.0,64.763999172,4
Canada,804,1.0,17.990999793,1
Canada,810,9.0,161.91899813700002,9
Canada,886,9.0,202.41899813700002,9
Canada,893,7.0,157.436998551,7
Canada,897,2.0,44.981999586,2
Canada,905,22.0,494.801995446,22
Canada,906,8.0,179.927998344,8
Canada,917,12.0,237.49199751600003,12
Canada,924,5.0,71.954998965,5
Canada,926,9.0,129.518998137,9
Caribbean,37,53.0,1669.0230801359999,53
Caribbean,93,45.0,1012.094990685,45
Caribbean,116,75.0,3036.8251133999997,75
Caribbean,134,37.0,832.5,37
Caribbean,135,80.0,1583.9999999999998,80
Caribbean,172,68.0,1836.0,68
Caribbean,235,64.0,2015.4240967679998,64
Caribbean,249,54.0,2671.542059292,54
Caribbean,273,43.0,1083.212991099,43
Caribbean,276,91.0,2619.980981163,91
Caribbean,278,39.0,1579.149058968,39
Caribbean,282,40.0,1151.63999172,40
Caribbean,502,4072.0,183240.0,4072
Caribbean,564,47.0,1269.0,47
Caribbean,567,59.0,1327.5,59
Caribbean,572,57.0,2051.487086184,57
Caribbean,627,2192.0,78892.27531430399,2192
Caribbean,642,71.0,1917.0,71
Caribbean,703,80.0,1439.27998344,80
Caribbean,771,54.0,1943.5140816479998,54
Caribbean,775,78.0,701.2979839242,78
Caribbean,778,88.0,1979.207981784,88
Caribbean,792,36.0,485.675992548,36
Caribbean,793,73.0,984.842984889,73
Caribbean,797,46.0,744.785990478,46
Caribbean,804,94.0,1691.153980542,94
Caribbean,810,39.0,701.648991927,39
Caribbean,818,74.0,3196.134111888,74
Caribbean,821,61.0,2854.251092232,61
Caribbean,822,39.0,1684.449058968,39
Caribbean,823,61.0,2854.251092232,61
Caribbean,825,47.0,1353.1769902709998,47
Caribbean,828,68.0,1957.7879859239997,68
Caribbean,835,42.0,1209.2219913059998,42
Caribbean,885,28.0,629.747994204,28
Caribbean,886,54.0,1214.513988822,54
Caribbean,893,35.0,787.184992755,35
Caribbean,897,57.0,1281.986988201,57
Caribbean,905,53.0,1192.022989029,53
Caribbean,906,80.0,1799.27998344,80
Caribbean,917,80.0,1583.27998344,80
Caribbean,924,59.0,849.0689877870001,59
Caribbean,926,60.0,863.4599875800001,60
Caribbean,977,81.0,2186.270983233,81
Caribbean,1004,1163.0,418659.0775137,1163
Caribbean,1014,4018.0,180737.674336548,4018
Central Africa,93,7.0,157.436998551,7
Central Africa,134,16.0,360.0,16
Central Africa,135,25.0,494.99999999999994,25
Central Africa,273,28.0,705.347994204,28
Central Africa,502,918.0,41310.0,918
Central Africa,567,36.0,810.0,36
Central Africa,703,8.0,143.927998344,8
Central Africa,775,2.0,17.9819995878,2
Central Africa,778,18.0,404.83799627400003,18
Central Africa,792,18.0,242.837996274,18
Central Africa,793,1.0,13.490999793,1
Central Africa,797,7.0,113.336998551,7
Central Africa,804,16.0,287.855996688,16
Central Africa,810,16.0,287.855996688,16
Central Africa,885,15.0,337.364996895,15
Central Africa,886,19.0,427.328996067,19
Central Africa,893,7.0,157.436998551,7
Central Africa,897,4.0,89.963999172,4
Central Africa,905,29.0,652.238993997,29
Central Africa,906,19.0,427.328996067,19
Central Africa,917,4.0,79.163999172,4
Central Africa,924,9.0,129.518998137,9
Central Africa,926,7.0,100.736998551,7
Central Africa,1004,80.0,28798.560791999997,236
Central Africa,1014,622.0,27978.803742492,775
Central America,37,184.0,5794.344278207999,184
Central America,44,170.0,9178.470257039999,201
Central America,93,258.0,5802.677946594,258
Central America,134,184.0,4140.0,184
Central America,135,171.0,3385.7999999999997,171
Central America,172,191.0,5157.0,191
Central America,235,170.0,5353.4702570399995,170
Central America,249,147.0,7272.531161405999,188
Central America,273,173.0,4358.042964189,173
Central America,276,164.0,4721.723966052,164
Central America,278,220.0,8908.020332639999,220
Central America,282,170.0,4894.4699648099995,170
Central America,564,173.0,4671.0,173
Central America,567,209.0,4702.5,209
Central America,572,209.0,7522.119316007999,209
Central America,627,7636.0,274827.287545632,7636
Central America,642,170.0,4590.0,170
Central America,703,173.0,3112.442964189,173
Central America,771,187.0,6730.317282743999,187
Central America,775,182.0,1636.3619624898001,182
Central America,778,161.0,3621.050966673,161
Central America,792,175.0,2360.924963775,175
Central America,793,208.0,2806.1279569440003,208
Central America,797,213.0,3448.6829559089997,213
Central America,804,237.0,4263.866950941,237
Central America,810,150.0,2698.64996895,150
Central America,823,16.0,748.6560241919999,204
Central America,825,150.0,4318.64996895,150
Central America,828,173.0,4980.842964189,173
Central America,835,215.0,6190.064955495,215
Central America,885,188.0,4228.307961084,188
Central America,886,253.0,5690.222947629,253
Central America,893,208.0,4678.127956944,208
Central America,897,128.0,2878.847973504,128
Central America,905,226.0,5082.965953218,226
Central America,906,150.0,3373.64996895,150
Central America,917,211.0,4175.900956323,211
Central America,924,182.0,2619.1619623260003,182
Central America,926,157.0,2259.386967501,157
Central America,977,244.0,6585.803949492,244
Central America,1004,3970.0,1429128.579303,3970
Central America,1014,13724.0,617332.9623182641,13724
Central Asia,93,7.0,157.436998551,7
Central Asia,116,7.0,283.43701058399995,7
Central Asia,172,5.0,135.0,5
Central Asia,249,9.0,445.257009882,9
Central Asia,273,1.0,25.190999793,1
Central Asia,276,4.0,115.16399917199999,4
Central Asia,282,2.0,57.581999585999995,2
Central Asia,502,281.0,12645.0,281
Central Asia,564,4.0,108.0,4
Central Asia,567,12.0,270.0,12
Central Asia,572,4.0,143.964006048,4
Central Asia,627,118.0,4246.938178416,118
Central Asia,642,11.0,297.0,11
Central Asia,703,5.0,89.954998965,5
Central Asia,771,11.0,395.90101663199994,11
Central Asia,775,7.0,62.9369985573,7
Central Asia,778,1.0,22.490999793,1
Central Asia,792,2.0,26.981999586,2
Central Asia,821,7.0,327.537010584,7
Central Asia,822,7.0,302.337010584,7
Central Asia,823,11.0,514.7010166319999,11
Central Asia,825,8.0,230.32799834399998,8
Central Asia,828,5.0,143.954998965,5
Central Asia,885,11.0,247.400997723,11
Central Asia,893,5.0,112.454998965,5
Central Asia,897,12.0,269.891997516,12
Central Asia,905,7.0,157.436998551,7
Central Asia,906,11.0,247.400997723,11
Central Asia,917,2.0,39.581999586,2
Central Asia,977,19.0,512.828996067,19
Central Asia,1004,90.0,32398.380890999997,90
Central Asia,1014,282.0,12684.923883252,282
East Africa,37,8.0,251.92801209599997,8
East Africa,44,13.0,701.883019656,21
East Africa,93,5.0,112.454998965,5
East Africa,134,5.0,112.5,5
East Africa,135,12.0,237.59999999999997,12
East Africa,172,23.0,621.0,23
East Africa,235,5.0,157.45500755999998,5
